Rounded t down to nearest multiple of 1/gamma.
J = 2 , D = 180 , s = 3 , gamma = 25.0 , (P= 1000.0 ) , load= 0.6109 
 lambda: [0.9934 0.3093] 
 mu: [0.69   0.7873] 
 Target: [1. 1.] 
 r: [1. 1.] 
 c: [1. 1.] 
 s_star: [2.3457 0.6543] 
 rho: [0.6138 0.6005] 
 P(W>D): [0.0061021  0.15877695] 
 Weighted cap_prob: 0.0424 
 W:  0.0126 GB. 
 V:  0.0042 GB.
iter:  0 inner_iter:  -1 , delta:  0.95 , D_min 0.0 , D_max 0.95 , g:  25.0
iter:  100 inner_iter:  -1 , delta:  0.02 , D_min 0.01 , D_max 0.02 , g:  0.7915
iter:  200 inner_iter:  -1 , delta:  0.01 , D_min 0.01 , D_max 0.02 , g:  0.852
iter:  300 inner_iter:  -1 , delta:  0.01 , D_min 0.01 , D_max 0.02 , g:  0.9195
iter:  400 inner_iter:  -1 , delta:  0.01 , D_min 0.02 , D_max 0.02 , g:  0.9785
iter:  500 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.0223
iter:  600 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.0529
iter:  700 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.0742
iter:  800 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.0889
iter:  900 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.0992
iter:  1000 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1063
iter:  1100 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1112
iter:  1200 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1146
iter:  1300 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.117
iter:  1400 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1186
iter:  1500 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1197
iter:  1600 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1205
iter:  1700 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.121
iter:  1800 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1214
iter:  1900 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1216
iter:  2000 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1218
iter:  2100 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1219
iter:  2200 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1219
iter:  2300 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.122
iter:  2400 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.122
iter:  2500 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1221
iter:  2530 inner_iter:  -1 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.1221
Value Iteration converged in 2530 iterations. g= 1.1221
iter:  0 inner_iter:  0 , delta:  2.02 , D_min 0.02 , D_max 2.04 , g:  54.1682
iter:  0 inner_iter:  100 , delta:  0.01 , D_min 0.02 , D_max 0.02 , g:  1.0231
iter:  0 inner_iter:  200 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.03
iter:  0 inner_iter:  300 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.043
iter:  0 inner_iter:  400 , delta:  0.0 , D_min 0.02 , D_max 0.02 , g:  1.0533
One-step Policy Improvement iter: 0 ( 460 ) reached max_time = True , g~ 1.0564
