Unnamed: 0,J,S,D,size,size_i,gamma,e,t,c,r,P,lab,mu,load,target_prob,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g,opt_gap
0,2,2,263,627264,1881792,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.08333333333333333, 0.25]","[0.3333333333333333, 0.3333333333333333]",0.5,0.3310387984981227,3427384_1,4,(HH:MM:SS): 17:31:12,2824.0,0.2590611775716146,3381504_1,1,(HH:MM:SS): 05:33:33,1990.0,0.2587431271870931,0.001227703770603
1,2,2,191,331776,995328,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.08333333333333333, 0.375]","[0.3333333333333333, 0.5]",0.5,0.3302628358631546,3427385_2,4,(HH:MM:SS): 05:26:20,2262.0,0.3691265881061554,3381505_2,1,(HH:MM:SS): 01:46:37,1659.0,0.3670395612716675,0.0056539596488988
2,2,2,151,207936,623808,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.08333333333333333, 0.5]","[0.3333333333333333, 0.6666666666666666]",0.5,0.3295293918091181,3362469_3,1,(HH:MM:SS): 02:30:54,2102.0,0.4819972384721041,3381506_3,1,(MM:SS): 55:38,1518.0,0.478319764137268,0.0076296585152508
3,2,2,345,1077444,3232332,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.09999999999999998, 0.3]","[0.3333333333333333, 0.3333333333333333]",0.6,0.4487511563367252,3910130_1,15,15:00:00,,,3907705_1,15,15:00:00,,,
4,2,2,251,571536,1714608,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.09999999999999998, 0.45]","[0.3333333333333333, 0.5]",0.6,0.4483555367844185,3427388_5,4,(HH:MM:SS): 19:46:19,3668.0,0.3950772285461426,3907706_2,15,15:00:00,,,
5,2,2,198,356409,1069227,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.09999999999999998, 0.6]","[0.3333333333333333, 0.6666666666666666]",0.6,0.4479962034391186,3910131_2,15,15:00:00,,,3381522_6,1,(HH:MM:SS): 02:47:18,2343.0,0.5129210154215494,
6,2,2,478,2064969,6194907,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.11666666666666665, 0.35]","[0.3333333333333333, 0.3333333333333333]",0.7,0.5764781485383542,3910132_3,14,15:00:00,,,3907707_3,13,15:00:00,,,
7,2,2,348,1096209,3288627,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.11666666666666665, 0.525]","[0.3333333333333333, 0.5]",0.7,0.5765274485806553,3910133_4,14,15:00:00,,,3907708_4,13,15:00:00,,,
8,2,2,274,680625,2041875,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.11666666666666665, 0.7]","[0.3333333333333333, 0.6666666666666666]",0.7,0.5765995021557091,3427392_9,4,(HH:MM:SS): 20:13:38,2889.0,0.5633886829018593,3907709_5,12,15:00:00,,,
9,2,2,740,4941729,14825187,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.13333333333333333, 0.4]","[0.3333333333333333, 0.3333333333333333]",0.8,0.71212259713429,3910134_5,13,15:00:00,,,3907710_6,11,15:00:00,,,
