,J,S,gamma,D,mu,lab,load,imbalance,t,c,r,t_prob,e,P,size,size_i,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g_tmp,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g_tmp,ospi_g,ospi_opt_gap_tmp,ospi_opt_gap,sdf_job_id,sdf_attempts,sdf_time,sdf_iter,sdf_g_tmp,sdf_g,sdf_opt_gap_tmp,sdf_opt_gap,fcfs_job_id,fcfs_attempts,fcfs_time,fcfs_iter,fcfs_g_tmp,fcfs_g,fcfs_opt_gap_tmp,fcfs_opt_gap,pi_job_id,pi_attempts,pi_time,pi_iter,pi_g_tmp,pi_g,pi_opt_gap_tmp,pi_opt_gap
0,1,2,10,73,[2.0],[2.8],0.7,[1],[1.0],[1.0],[1.0],0.5808752025931927,0.001,1000.0,222,444,,0,00:00,0,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,
1,1,2,10,46,[4.0],[5.6],0.7,[1],[1.0],[1.0],[1.0],0.5891853432942012,0.001,1000.0,141,282,,0,00:00,0,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,
2,1,2,10,37,[6.0],[8.399999999999999],0.7,[1],[1.0],[1.0],[1.0],0.5977056551565112,0.001,1000.0,114,228,,0,00:00,0,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,
3,1,2,10,113,[2.0],[3.2],0.8,[1],[1.0],[1.0],[1.0],0.7209682424743975,0.001,1000.0,342,684,,0,00:00,0,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,
4,1,2,10,72,[4.0],[6.4],0.8,[1],[1.0],[1.0],[1.0],0.730224665716419,0.001,1000.0,219,438,,0,00:00,0,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,
5,1,2,10,59,[6.0],[9.600000000000001],0.8,[1],[1.0],[1.0],[1.0],0.7379532247995008,0.001,1000.0,180,360,,0,00:00,0,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,
6,1,2,10,235,[2.0],[3.6],0.9,[1],[1.0],[1.0],[1.0],0.8618924889543446,0.001,1000.0,708,1416,,0,00:00,0,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,
7,1,2,10,150,[4.0],[7.2],0.9,[1],[1.0],[1.0],[1.0],0.8683015914427342,0.001,1000.0,453,906,,0,00:00,0,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,
8,1,2,10,122,[6.0],[10.8],0.9,[1],[1.0],[1.0],[1.0],0.8729185763819697,0.001,1000.0,369,738,,0,00:00,0,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,
9,1,2,15,99,[2.0],[2.8],0.7,[1],[1.0],[1.0],[1.0],0.5786104547589054,0.001,1000.0,300,600,,0,00:00,0,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,
10,1,2,15,59,[4.0],[5.6],0.7,[1],[1.0],[1.0],[1.0],0.5834976793260784,0.001,1000.0,180,360,,0,00:00,0,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,
11,1,2,15,46,[6.0],[8.399999999999999],0.7,[1],[1.0],[1.0],[1.0],0.5891853432942012,0.001,1000.0,141,282,,0,00:00,0,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,
