,J,S,gamma,D,mu,lab,load,imbalance,t,c,r,t_prob,N,start_K,batch_T,ospi_g,ospi_g_ci,ospi_perc,ospi_perc_ci,cmu_t_min_g,cmu_t_min_g_ci,cmu_t_min_perc,cmu_t_min_perc_ci,cmu_t_max_g,cmu_t_max_g_ci,cmu_t_max_perc,cmu_t_max_perc_ci,fcfs_g,fcfs_g_ci,fcfs_perc,fcfs_perc_ci,sdf_g,sdf_g_ci,sdf_perc,sdf_perc_ci,sdfprior_g,sdfprior_g_ci,sdfprior_perc,sdfprior_perc_ci,l_max_g,l_max_g_ci,l_max_perc,l_max_perc_ci,l_min_g,l_min_g_ci,l_min_perc,l_min_perc_ci
0,1,2,10,73,[2.0],[2.8],0.7,[1],[1.0],[1.0],[1.0],0.5808752025931927,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,10,46,[4.0],[5.6],0.7,[1],[1.0],[1.0],[1.0],0.5891853432942012,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,10,37,[6.0],[8.399999999999999],0.7,[1],[1.0],[1.0],[1.0],0.5977056551565112,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,10,113,[2.0],[3.2],0.8,[1],[1.0],[1.0],[1.0],0.7209682424743975,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2,10,72,[4.0],[6.4],0.8,[1],[1.0],[1.0],[1.0],0.730224665716419,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2,10,59,[6.0],[9.600000000000001],0.8,[1],[1.0],[1.0],[1.0],0.7379532247995008,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,2,10,235,[2.0],[3.6],0.9,[1],[1.0],[1.0],[1.0],0.8618924889543446,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2,10,150,[4.0],[7.2],0.9,[1],[1.0],[1.0],[1.0],0.8683015914427342,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,2,10,122,[6.0],[10.8],0.9,[1],[1.0],[1.0],[1.0],0.8729185763819697,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,2,15,99,[2.0],[2.8],0.7,[1],[1.0],[1.0],[1.0],0.5786104547589054,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,2,15,59,[4.0],[5.6],0.7,[1],[1.0],[1.0],[1.0],0.5834976793260784,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,2,15,46,[6.0],[8.399999999999999],0.7,[1],[1.0],[1.0],[1.0],0.5891853432942012,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
