Unnamed: 0,J,S,gamma,D,mu,lab,load,imbalance,t,c,r,t_prob,e,P,size,size_i,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g_tmp,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g_tmp,ospi_g,ospi_opt_gap_tmp,ospi_opt_gap,sdf_job_id,sdf_attempts,sdf_time,sdf_iter,sdf_g_tmp,sdf_g,sdf_opt_gap_tmp,sdf_opt_gap,fcfs_job_id,fcfs_attempts,fcfs_time,fcfs_iter,fcfs_g_tmp,fcfs_g,fcfs_opt_gap_tmp,fcfs_opt_gap,pi_job_id,pi_attempts,pi_time,pi_iter,pi_g_tmp,pi_g,pi_opt_gap_tmp,pi_opt_gap,cmu_t_min_job_id,cmu_t_min_attempts,cmu_t_min_time,cmu_t_min_iter,cmu_t_min_g_tmp,cmu_t_min_g,cmu_t_min_opt_gap_tmp,cmu_t_min_opt_gap
0,2,2,20,90,"[3.0, 3.0]","[1.0499999999999998, 3.1499999999999995]",0.7,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5791301048620808,0.0001,1000,74529,223587,70092311,1,(HH:MM:SS): 02:59:56,1011,3.8979843854904175,3.8979843854904175,70095011,1,(HH:MM:SS): 02:59:26,951,3.862826108932495,3.862826108932495,0.00901960425721382,0.00901960425721382,70096371,1,(HH:MM:SS): 02:59:49,1591,3.729389578104019,3.729389578104019,0.04325179136529221,0.04325179136529221,70098071,1,(HH:MM:SS): 02:59:48,1591,3.729389578104019,3.729389578104019,0.04325179136529221,0.04325179136529221,76374821.0,1,(HH:MM:SS): 11:59:53,8,3.90160083770752,3.90160083770752,0.0009277749368530366,0.0009277749368530366,70261571,1,(HH:MM:SS): 02:59:40,1271,3.7334190160036087,3.7334190160036087,0.042218067906935525,0.042218067906935525
1,2,2,20,55,"[6.0, 6.0]","[2.0999999999999996, 6.299999999999999]",0.7,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5848858685357073,0.0001,1000,28224,84672,70092322,1,(HH:MM:SS): 02:59:13,601,8.688261509,8.688261509,70095022,1,(HH:MM:SS): 02:59:10,741,8.530369758605957,8.530369758605957,0.01817299700641908,0.01817299700641908,70096382,1,(HH:MM:SS): 02:59:14,1071,8.442807436,8.442807436,0.028251229862929238,0.028251229862929238,70098082,1,(HH:MM:SS): 02:59:14,1071,8.442807436,8.442807436,0.028251229862929238,0.028251229862929238,76374832.0,1,(HH:MM:SS): 11:59:16,6,8.692241191864014,8.692241191864014,0.00045805284059314237,0.00045805284059314237,70261582,1,(HH:MM:SS): 02:59:12,891,8.302165627479553,8.302165627479553,0.04443879608371568,0.04443879608371568
2,2,2,20,60,"[3.0, 6.0]","[1.0499999999999998, 6.299999999999999]",0.7,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5833269740425554,0.0001,1000,33489,100467,70092333,1,(HH:MM:SS): 02:59:13,671,7.503189265727997,7.503189265727997,70095033,1,(HH:MM:SS): 02:59:12,741,7.205310463905335,7.205310463905335,0.039700291605766894,0.039700291605766894,70096393,1,(HH:MM:SS): 02:59:17,1221,7.180668354034424,7.180668354034424,0.04298450968933148,0.04298450968933148,70098093,1,(HH:MM:SS): 02:59:17,1221,7.180668354034424,7.180668354034424,0.04298450968933148,0.04298450968933148,76374843.0,1,(HH:MM:SS): 11:59:25,7,7.504033088684082,7.504033088684082,0.00011246190469158226,0.00011246190469158226,70261593,1,(HH:MM:SS): 02:59:09,531,7.434675335884094,7.434675335884094,0.009131307690297883,0.009131307690297883
3,2,2,20,40,"[6.0, 12.0]","[2.0999999999999996, 12.599999999999998]",0.7,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5945686031665092,0.0001,1000,15129,45387,70092344,1,(HH:MM:SS): 02:59:06,381,16.489290237426758,16.489290237426758,70095044,1,(HH:MM:SS): 02:59:08,721,15.26645278930664,15.26645278930664,0.07415949567947853,0.07415949567947853,70096404,1,(HH:MM:SS): 02:59:08,881,15.752840042114258,15.752840042114258,0.04466233444305163,0.04466233444305163,70098124,1,(HH:MM:SS): 02:59:08,881,15.752840042114258,15.752840042114258,0.04466233444305163,0.04466233444305163,76374854.0,1,(HH:MM:SS): 11:59:12,8,16.490650177001953,16.490650177001953,8.247411232465142e-05,8.247411232465142e-05,70261604,1,(HH:MM:SS): 02:59:07,561,16.065811157226562,16.065811157226562,0.02568206842760271,0.02568206842760271
4,2,2,20,141,"[3.0, 3.0]","[1.2000000000000002, 3.6000000000000005]",0.8,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.7184627066176041,0.0001,1000,181476,544428,70092355,1,(HH:MM:SS): 03:02:36,1811,4.069789171218872,4.069789171218872,70095075,1,(HH:MM:SS): 03:00:57,1781,3.956616014242172,3.956616014242172,0.02780811295510075,0.02780811295510075,70096415,1,(HH:MM:SS): 03:04:56,4081,3.562339782714844,3.562339782714844,0.12468689830241268,0.12468689830241268,70098135,1,(HH:MM:SS): 03:04:57,4081,3.562339782714844,3.562339782714844,0.12468689830241268,0.12468689830241268,76374865.0,1,(HH:MM:SS): 12:03:10,7,4.072273254394531,4.072273254394531,0.000610371464258237,0.000610371464258237,70261615,1,(HH:MM:SS): 03:03:36,3141,3.672371506690979,3.672371506690979,0.09765067619187492,0.09765067619187492
5,2,2,20,86,"[6.0, 6.0]","[2.4000000000000004, 7.200000000000001]",0.8,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.7257786613651428,0.0001,1000,68121,204363,70092366,1,(HH:MM:SS): 02:59:45,1291,9.311795533,9.311795533,70095086,1,(HH:MM:SS): 02:59:34,1421,9.116249442100523,9.116249442100523,0.020999826532539546,0.020999826532539546,70096426,1,(HH:MM:SS): 03:00:16,2911,8.684585571289062,8.684585571289062,0.06735650063279125,0.06735650063279125,70098146,1,(HH:MM:SS): 03:00:16,2911,8.684585571289062,8.684585571289062,0.06735650063279125,0.06735650063279125,76374876.0,1,(HH:MM:SS): 12:00:15,6,9.316276550292969,9.316276550292969,0.000481219468048753,0.000481219468048753,70261626,1,(HH:MM:SS): 03:00:03,2371,8.473148644,8.473148644,0.09006285479829593,0.09006285479829593
6,2,2,20,94,"[3.0, 6.0]","[1.2000000000000002, 7.200000000000001]",0.8,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.7240134199571369,0.0001,1000,81225,243675,70092377,1,(HH:MM:SS): 03:00:20,1941,8.143451750278473,8.143451750278473,70095097,1,(HH:MM:SS): 02:59:32,1091,7.513845920562744,7.513845920562744,0.07731436852857866,0.07731436852857866,70096437,1,(HH:MM:SS): 03:00:42,3161,7.218673706054687,7.218673706054687,0.11356094105821436,0.11356094105821436,70098157,1,(HH:MM:SS): 03:00:41,3161,7.218673706054687,7.218673706054687,0.11356094105821436,0.11356094105821436,76374887.0,1,(HH:MM:SS): 12:00:54,9,8.147038578987122,8.147038578987122,0.0004404555732188168,0.0004404555732188168,70261637,1,(HH:MM:SS): 02:59:36,1321,8.106231331825256,8.106231331825256,0.004570594828162857,0.004570594828162857
7,2,2,20,63,"[6.0, 12.0]","[2.4000000000000004, 14.400000000000002]",0.8,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.7352308047287487,0.0001,1000,36864,110592,70092388,1,(HH:MM:SS): 02:59:21,1201,17.97783660888672,17.97783660888672,70095108,1,(HH:MM:SS): 02:59:19,1331,16.97542953491211,16.97542953491211,0.0557579366072948,0.0557579366072948,70096448,1,(HH:MM:SS): 02:59:37,2641,16.77856445,16.77856445,0.06670836903111574,0.06670836903111574,70098168,1,(HH:MM:SS): 02:59:36,2641,16.77856445,16.77856445,0.06670836903111574,0.06670836903111574,76374898.0,1,(HH:MM:SS): 11:59:42,5,17.977996826171875,17.977996826171875,8.911933545833437e-06,8.911933545833437e-06,70261648,1,(HH:MM:SS): 02:59:15,1081,17.799331665039062,17.799331665039062,0.00992916710342214,0.00992916710342214
8,2,2,20,291,"[3.0, 3.0]","[1.35, 4.050000000000001]",0.9,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8598962687009235,0.0001,1000,767376,2302128,76448921,2,(HH:MM:SS): 45:34:09,92112,3.891357421875,,76456271,2,(HH:MM:SS): 45:34:07,215742,3.6728897094726562,,0.05614177489177489,,76457341,2,(HH:MM:SS): 45:34:08,129762,2.5398406982421875,,0.3473124098124098,,76458441,2,(HH:MM:SS): 45:34:12,127692,2.53948974609375,,0.3474025974025974,,76374909.0,1,(HH:MM:SS): 22:46:26,11,4.121494293212891,,0.059140512265512264,,70261659,1,(HH:MM:SS): 05:40:10,14951,2.976074219,,0.23520923514499026,
9,2,2,20,178,"[6.0, 6.0]","[2.7, 8.100000000000001]",0.9,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8653758829465187,0.0001,1000,288369,865107,76448932,2,(HH:MM:SS): 45:34:06,391472,9.19219970703125,,76456282,2,(HH:MM:SS): 45:34:06,766832,8.54156494140625,,0.07078118256365991,,76457352,2,(HH:MM:SS): 45:34:06,540992,6.864990234375,,0.25317220543806646,,76458452,2,(HH:MM:SS): 45:34:07,543002,6.864990234375,,0.25317220543806646,,763749110.0,1,(HH:MM:SS): 22:46:10,11,10.631431579589844,,0.15657099697885196,,702616610,1,(HH:MM:SS): 05:40:06,59411,6.845153809,,0.2553301682769098,
10,2,2,20,195,"[3.0, 6.0]","[1.35, 8.100000000000001]",0.9,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8641422464573232,0.0001,1000,345744,1037232,700924111,1,(HH:MM:SS): 03:13:13,2921,8.669906616210938,8.669906616210938,76456293,2,(HH:MM:SS): 45:34:06,628032,7.63623046875,,0.11922575331182649,,76457363,2,(HH:MM:SS): 45:34:06,420612,5.5081787109375,,0.364678426796623,,76458463,2,(HH:MM:SS): 45:34:06,421742,5.5081787109375,,0.364678426796623,,763749211.0,1,(HH:MM:SS): 22:46:11,11,8.856269836425781,,0.021495412634131832,,702616711,1,(HH:MM:SS): 05:40:06,71501,8.235290527,,0.05012926995064687,
11,2,2,20,130,"[6.0, 12.0]","[2.7, 16.200000000000003]",0.9,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8713493366243232,0.0001,1000,154449,463347,700925312,1,(HH:MM:SS): 03:07:00,5181,18.797042846679688,18.797042846679688,700951412,1,(HH:MM:SS): 03:02:23,3751,16.94824219,16.94824219,0.09835593139621222,0.09835593139621222,76457374,2,(HH:MM:SS): 45:34:06,1256332,14.16015625,,0.24668170597370043,,76458474,2,(HH:MM:SS): 45:34:06,1256062,14.16015625,,0.24668170597370043,,763749312.0,1,(HH:MM:SS): 12:29:13,9,18.7969970703125,18.7969970703125,2.4352962091367445e-06,2.4352962091367445e-06,702624812,1,(HH:MM:SS): 03:02:05,3611,18.44433594,18.44433594,0.018763957158399056,0.018763957158399056
12,2,2,20,90,"[3.0, 3.0]","[2.0999999999999996, 2.0999999999999996]",0.7,"[1, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5791301048620808,0.0001,1000,74529,223587,700925413,1,(HH:MM:SS): 02:59:40,1001,3.902380883693695,3.902380883693695,700951513,1,(HH:MM:SS): 02:59:30,1021,3.858675003051758,3.858675003051758,0.01119979877529756,0.01119979877529756,700965013,1,(HH:MM:SS): 02:59:48,1591,3.740679681301117,3.740679681301117,0.04143655045776161,0.04143655045776161,700982113,1,(HH:MM:SS): 02:59:48,1591,3.740679681301117,3.740679681301117,0.04143655045776161,0.04143655045776161,763749413.0,1,(HH:MM:SS): 11:59:52,11,3.905810207128525,,0.0008787772226845722,,702624913,1,(HH:MM:SS): 02:59:32,1001,3.805500268936157,3.805500268936157,0.02482602740351642,0.02482602740351642
